isax_time_entropy,isax_deriv_entropy,com_RnEn,top_area,top_perim,top_ecc,net_assort,net_clust,net_avgdeg,net_diam,mean,std,skew,kurt,nsSCR_count,psd_total,subject,trial,start_sample,end_sample,label
2.3198934626627756,1.7839404724889638,0.6355008069160083,3.530724013974004,55.80015397782468,109.30030951995835,,1.0,2.0,1,0.4617339951959242,0.010160573680197033,-1.9886882096968408,8.03243726646381,0,1.986213653559922e-05,n3r2b,n3r2b_sensors.csv,,,
2.1724363983741553,1.097780987108337,2.425215550608314,3.1536584912679033,57.22482939421571,129.11560590911301,,1.0,2.0,1,0.4746751574093582,0.006511574196805716,0.08403471383603142,-1.336961010102872,1,1.3219714683771038e-05,n3r2b,n3r2b_sensors.csv,,,
2.269703376552242,0.9023840604289702,2.432510893452144,3.2958248352416617,58.550444698943934,129.24573184031735,,1.0,2.0,1,0.48576826904449777,0.006670217187226414,-0.0625021896430616,-1.3148125882274067,0,1.301759835982766e-05,n3r2b,n3r2b_sensors.csv,,,
2.456585924412018,1.9648966168256354,2.765412151399269,909.5470280105067,473.3435216847311,30.03491246568684,,1.0,2.0,1,3.863801480973634,0.2329207620503848,-0.13045296558199998,-1.2267662207447163,3,0.024333030918392208,o9m76,o9m76_sensors.csv,,,
3.3683492310729988,2.81611002208062,2.6944244345293726,222.92306965204213,496.682655018288,137.79078490013129,,1.0,2.0,1,4.107898676496901,0.09979158344701648,-1.6306046496684001,2.7512139360420607,3,0.002634106318422951,o9m76,o9m76_sensors.csv,,,
3.0827120384190203,2.9727149566700826,2.657724523643696,325.65418868611164,508.8470737826036,98.84106993822719,,1.0,2.0,1,4.213730587167671,0.07798675850635185,0.497283948279594,-0.7716736693426935,5,0.003820522764103073,o9m76,o9m76_sensors.csv,,,
3.450028875448466,3.305182907846109,2.6492996345283832,168.34680559639978,517.1468136106743,197.7403387340385,,1.0,2.0,1,4.29095347447888,0.052372820904197,-0.38801842488759847,-0.2525766265825209,5,0.0014368407668138435,o9m76,o9m76_sensors.csv,,,
3.216315569066642,2.78313279719957,2.4717054175961697,227.9821203353941,521.1020674651702,148.20827631792034,,1.0,2.0,1,4.318023640907312,0.06157704870497571,1.866687089417954,3.60835030449942,4,0.0041177362888843655,o9m76,o9m76_sensors.csv,,,
2.098639863364937,2.259071309688982,2.1840717704078507,3242.76607782281,606.1943722437718,13.36714908255662,,1.0,2.0,1,4.865324941759247,0.5715157322392352,0.15321037925030506,-1.8026868587890579,1,0.2583972495782007,o9m76,o9m76_sensors.csv,,,
3.2163155690666425,2.2164296844747184,2.050372356634979,782.1730621694751,674.3906316287305,71.57815233444846,,1.0,2.0,1,5.519701949552235,0.22670587440136872,-2.5928981669008664,11.235538602070068,2,0.020553997108583896,o9m76,o9m76_sensors.csv,,,
3.6001908764824524,3.0661535680326555,2.910007275189813,450.4055967502057,678.224889971709,127.1827480218165,,1.0,2.0,1,5.616976793940398,0.09608308744039877,0.5737467170378964,-0.45293165824735127,6,0.010154472205814197,o9m76,o9m76_sensors.csv,,,
3.450028875448466,3.211744296483536,3.0005412951781834,604.9082729810838,682.9533557404062,95.96447938414515,,1.0,2.0,1,5.654073650484507,0.11271924673904492,0.4659037166822358,-0.7503463303188664,4,0.008199840727119547,o9m76,o9m76_sensors.csv,,,
3.6034123432601906,3.0101749392097656,3.111752457570914,494.2975902358637,697.7673643575863,122.51128107580152,,1.0,2.0,1,5.7725028507283636,0.11162832827453478,-0.05831889692911333,-0.3833686848600286,4,0.007297421253916673,o9m76,o9m76_sensors.csv,,,
3.164391682794487,3.3485692939088962,2.5611485553367905,332.22200433349224,699.6202446699888,183.38396326862426,,1.0,2.0,1,5.800203636587496,0.07122001970981337,1.3073436454989327,1.3672481811639656,3,0.004997617482654817,o9m76,o9m76_sensors.csv,,,
1.173334443668954,2.2571111337921392,1.846745787070102,3815.028996593129,771.7501540147887,18.678233348316876,,1.0,2.0,1,6.256830743519399,0.5011288903885005,0.09977050892063521,-1.821179211951012,2,0.22963869434825837,o9m76,o9m76_sensors.csv,,,
3.4532503422262035,2.7752003419470466,2.9717172248566257,1180.1276487418195,829.4339239621895,72.24583710277221,,1.0,2.0,1,6.853564705746307,0.1539549065565076,-0.1000280261854149,-1.1289177775208272,4,0.01376787877970874,o9m76,o9m76_sensors.csv,,,
3.2597019551294295,2.567099536193327,2.70069925043255,1012.5904537621675,853.0709721352013,89.28485048619295,,1.0,2.0,1,7.0591963589917786,0.1425995289164089,0.3347360212592563,-0.08119357769774727,5,0.010268806811190804,o9m76,o9m76_sensors.csv,,,
3.6034123432601906,3.354718603113523,2.7423553784548367,536.4016833993895,870.5600351604044,176.06573370871945,,1.0,2.0,1,7.2184747654866985,0.1117716352238059,-0.01656670463804069,-0.08905179122222417,7,0.006133512415475635,o9m76,o9m76_sensors.csv,,,
2.359403991104706,1.5617973954902356,3.2578883686284943,3.8280947330087796,48.0271946802262,74.4579867847209,,1.0,2.0,1,0.3973874169912704,0.009261415997514316,0.12959145166589314,-1.225693035847599,2,2.3361710976817203e-05,p04js,p04js_sensors.csv,,,
3.0498233284624434,2.203648704110605,2.066488508029259,2.029244702361116,49.270366967435876,148.53995531643358,,1.0,2.0,1,0.4082228104091253,0.00766982951884536,0.5027721365771407,-0.2990569930241085,2,2.8328354418981827e-05,p04js,p04js_sensors.csv,,,
2.415159714246073,1.73476554371382,2.0523682973442514,6.263057456905491,51.312486332609616,51.72116478209184,,1.0,2.0,1,0.42272434722604957,0.013581044916357888,-0.37050444487997686,-1.155083832996131,1,8.729492457577934e-05,p04js,p04js_sensors.csv,,,
2.577080682267166,1.5143562668767137,3.395272195923485,3.436757037876816,53.26258997887,102.1698117967658,,1.0,2.0,1,0.44119832245400553,0.007986994690220083,-0.17443321299097705,-1.1116513538547697,2,1.636439594779367e-05,p04js,p04js_sensors.csv,,,
2.2341150549849287,1.8907160874601634,1.2040463272431954,9.370376369557407,56.37724266824693,42.1834152111452,,1.0,2.0,1,0.4640531516116181,0.022377524531106967,0.9355062675535806,-0.9031230114810715,0,0.0001606330677708581,p04js,p04js_sensors.csv,,,
1.9295312009398446,1.7554460052665473,0.9102344907213629,7.840486611102267,60.38319431334034,56.91612857806425,,1.0,2.0,1,0.49407577616040926,0.020871967769764698,-1.1344229672866264,-0.518192292446094,0,0.0001156562851377017,p04js,p04js_sensors.csv,,,
